plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,observer,datetime,mutanta
16R4473:0004903:0004909,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004910,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004911,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004912,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005110,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005109,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005108,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005107,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005106,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005105,0,1,1,1,1,shorter_by_2_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4475:0005104,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005103,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4475:0005101,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
5102,1,0,0,0,0,shorter_by_5_ft,no tassel,no ear,,toni,07/17/2016 12:00:00,
5111,1,0,0,0,0,miniscule,no tassel,no ear,,toni,07/17/2016 12:00:00,
5112,1,0,0,0,0, , ,small ear,,toni,07/17/2016 12:00:00,
5014,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005013,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005012,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005011,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005010,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005009,0,1,1,1,1,shorter_by_2_ft, ,no ear,,toni,07/17/2016 12:00:00,
16R4474:0005008,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005007,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005006,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005005,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005004,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005003,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005002,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4474:0005001,0,1,1,1,1,shorter_by_2_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4476:0005201,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005202,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005203,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005205,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005204,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005206,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005207,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005208,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005209,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005210,0,1,1,1,1,shorter_by_2_ft, ,no ear,,toni,07/17/2016 12:00:00,
16R4476:0005211,0,1,1,1,1,shorter_by_2_ft, ,no ear,,toni,07/17/2016 12:00:00,
16R4476:0005212,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4476:0005213,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005301,0,1,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005302,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005303,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005304,0,1,0,0,0, , , ,,toni,08/03/2016 12:56:08,
16R4477:0005305,0,1,1,1,1,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4477:0005306,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005307,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005308,0,1,0,0,0,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4477:0005309,0,1,0,1,1,shorter_by_1_ft, , ,,toni,07/17/2016 12:00:00,
16R4477:0005309:0005310,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005309:0005311,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4477:0005309:0005311:0005312,0,1,0,0,0, , , ,,toni,07/17/2016 12:00:00,
5313,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005510,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005509,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005508,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005507,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005505,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005506,0,1,1,1,1, , ,no ear,,toni,07/17/2016 12:00:00,
16R4479:0005504,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005503,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005502,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4479:0005501,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
5413,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
