plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R305:W0000712,140,08/28/2015 10:00:00,toni,,,,
15R305:W0000711,150,08/28/2015 10:00:00,toni,,,,
15R305:W0000710,164,08/28/2015 10:00:00,toni,,,,
15R305:W0000709,155,08/28/2015 10:00:00,toni,,,,
15R305:W0000708,160,08/28/2015 10:00:00,toni,,,,
15R305:W0000707,157,08/28/2015 10:00:00,toni,,,,
15R305:W0000706,160,08/28/2015 10:00:00,toni,,,,
15R305:W0000705,143,08/28/2015 10:00:00,toni,,,,
15R305:W0000704,168,08/28/2015 10:00:00,toni,,,,
15R305:W0000703,160,08/28/2015 10:00:00,toni,,,,
15R305:W0000702,157,08/28/2015 10:00:00,toni,,,,
15R305:W0000701,161,08/28/2015 10:00:00,toni,,,,
15R305:W0000903,144,08/28/2015 10:00:00,toni,,,,
15R305:W0000904,155,08/28/2015 10:00:00,toni,,,,
15R305:W0000905,145,08/28/2015 10:00:00,toni,,,,
15R305:W0000906,146,08/28/2015 10:00:00,toni,,,,
15R305:W0000907,151,08/28/2015 10:00:00,toni,,,,
15R305:W0000908,151,08/28/2015 10:00:00,toni,,,,
15R305:W0001006,138,08/28/2015 10:00:00,toni,,,,
15R305:W0001005,155,08/28/2015 10:00:00,toni,,,,
15R305:W0001004,120,08/28/2015 10:00:00,toni,,,,
15R305:W0001003,97,08/28/2015 10:00:00,toni,,,,
15R305:W0001002,150,08/28/2015 10:00:00,toni,,,,
15R305:W0001001,143,08/28/2015 10:00:00,toni,,,,
15R405:M0001102,117,08/28/2015 10:00:00,toni,,,,
15R405:M0001103,111,08/28/2015 10:00:00,toni,,,,
15R405:M0001104,110,08/28/2015 10:00:00,toni,,,,
15R405:M0001105,113,08/28/2015 10:00:00,toni,,,,
15R405:M0001108,105,08/28/2015 10:00:00,toni,,,,
15R405:M0001109,114,08/28/2015 10:00:00,toni,,,,
15R405:M0001110,109,08/28/2015 10:00:00,toni,,,,
15R405:M0001111,125,08/28/2015 10:00:00,toni,,,,
15R405:M0001114,108,08/28/2015 10:00:00,toni,,,,
15R405:M0001115,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001217,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001216,108,08/28/2015 10:00:00,toni,,,,
15R405:M0001215,122,08/28/2015 10:00:00,toni,,,,
15R405:M0001214,114,08/28/2015 10:00:00,toni,,,,
15R405:M0001213,111,08/28/2015 10:00:00,toni,,,,
15R405:M0001212,108,08/28/2015 10:00:00,toni,,,,
15R405:M0001211,111,08/28/2015 10:00:00,toni,,,,
15R405:M0001210,135,08/28/2015 10:00:00,toni,,,,
15R405:M0001209,126,08/28/2015 10:00:00,toni,,,,
15R405:M0001208,124,08/28/2015 10:00:00,toni,,,,
15R405:M0001207,118,08/28/2015 10:00:00,toni,,,,
15R405:M0001206,116,08/28/2015 10:00:00,toni,,,,
15R405:M0001205,109,08/28/2015 10:00:00,toni,,,,
15R405:M0001204,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001203,118,08/28/2015 10:00:00,toni,,,,
15R405:M0001202,103,08/28/2015 10:00:00,toni,,,,
15R405:M0001201,118,08/28/2015 10:00:00,toni,,,,
15R405:M0001301,113,08/28/2015 10:00:00,toni,,,,
15R405:M0001302,123,08/28/2015 10:00:00,toni,,,,
15R405:M0001303,127,08/28/2015 10:00:00,toni,,,,
15R405:M0001304,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001305,123,08/28/2015 10:00:00,toni,,,,
15R405:M0001306,106,08/28/2015 10:00:00,toni,,,,
15R405:M0001307,113,08/28/2015 10:00:00,toni,,,,
15R405:M0001308,129,08/28/2015 10:00:00,toni,,,,
15R405:M0001309,120,08/28/2015 10:00:00,toni,,,,
15R405:M0001310,118,08/28/2015 10:00:00,toni,,,,
15R405:M0001312,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001313,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001417,111,08/28/2015 10:00:00,toni,,,,
15R405:M0001416,108,08/28/2015 10:00:00,toni,,,,
15R405:M0001415,116,08/28/2015 10:00:00,toni,,,,
15R405:M0001412,116,08/28/2015 10:00:00,toni,,,,
15R405:M0001409,118,08/28/2015 10:00:00,toni,,,,
15R405:M0001408,115,08/28/2015 10:00:00,toni,,,,
15R405:M0001407,121,08/28/2015 10:00:00,toni,,,,
15R405:M0001405,110,08/28/2015 10:00:00,toni,,,,
15R405:M0001404,107,08/28/2015 10:00:00,toni,,,,
15R405:M0001403,112,08/28/2015 10:00:00,toni,,,,
15R405:M0001401,118,08/28/2015 10:00:00,toni,,,,
15R405:M0001501,113,08/28/2015 10:00:00,toni,,,,
15R405:M0001503,117,08/28/2015 10:00:00,toni,,,,
15R405:M0001505,108,08/28/2015 10:00:00,toni,,,,
15R405:M0001508,120,08/28/2015 10:00:00,toni,,,,
15R405:M0001509,122,08/28/2015 10:00:00,toni,,,,
15R405:M0001512,105,08/28/2015 10:00:00,toni,,,,
