sample num,plantID,image num,leaf,camera,observer,datetime,microscopy_sample
e01234,13R4148:0019104,0180,t-1,aleph,avi,08/07/2013 11:06:20,
e01219,13R4148:0019108,0165,t-1,aleph,avi,08/07/2013 10:35:50,
e01216,13R4149:0019212,0162,t-2,aleph,avi,08/07/2013 10:32:09,
e01209,13R4149:0019213,0155,t-2,aleph,avi,08/07/2013 10:13:43,
e01225,13R4150:0019401,0171,t-2,aleph,avi,08/07/2013 10:43:58,
e01208,13R4150:0019402,0154,t-1,aleph,avi,08/07/2013 10:12:15,
e01251,13R4150:0019405,0197,t-1,aleph,avi,08/07/2013 11:40:15,
e01343,13R4151:0019602,0289,t-1,aleph,avi,08/07/2013 16:37:05,
e01294,13R1005:0019901,0240,e1,aleph,avi,08/07/2013 13:33:40,
e01292,13R1005:0019902,0238,e1,aleph,avi,08/07/2013 13:31:26,
e01295,13R2429:0020002,0241,e1,aleph,avi,08/07/2013 13:34:54,
e01286,13R2429:0020003,0232,e1,aleph,avi,08/07/2013 13:23:01,
e01285,13R3226:0020201,0231,e1,aleph,avi,08/07/2013 13:21:51,
e01284,13R3226:0020203,0230,e1,aleph,avi,08/07/2013 13:20:20,
e01329,13R3973:0020305,0275,e1,aleph,avi,08/07/2013 15:38:26,
e01283,13R3973:0020306,0229,e2,aleph,avi,08/07/2013 13:18:51,
