"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N3395:0007101",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N3395:0007102",1,0,0,0,"shorter_by_3ft","poor tassel",,,"toni",,
"11N3395:0007103",1,0,0,0,"shorter_by_3ft","rudimentary tassel",,,"toni",,
"11N3395:0007104",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3395:0007105",1,0,0,0,0,,,,"toni",,
"11N3395:0007106",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3395:0007107",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3395:0007108",1,0,0,0,0,,,,"toni",,
"11N3395:0007109",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3395:0007110",1,0,0,0,"shorter_by_1ft",,"rudimentary ear",,"toni",,
"11N3299:0007201",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3299:0007202",0,1,0,0,"shorter_by_1ft",,,,"toni",,
"11N3299:0007205",1,0,0,0,0,,,,"toni",,
"11N3299:0007208",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3299:0007209",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3299:0007211",0,1,0,0,0,,,,"toni",,
"11N3299:0007212",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3396:0007301",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3396:0007302",0,1,0,0,0,,,,"toni",,
"11N3396:0007303",0,1,0,0,0,,,,"toni",,
"11N3396:0007305",0,1,1,1,0,,,,"toni",,
"11N3396:0007306",1,0,0,0,0,,,,"toni",,
"11N3396:0007309",0,1,1,1,0,,,,"toni",,
"11N3396:0007310",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3396:0007311",0,1,0,0,0,,,,"toni",,
"11N3396:0007313",1,0,0,0,0,,,,"toni",,
"11N3397:0007401",1,0,0,0,0,,,,"toni",,
"11N3397:0007402",1,0,0,0,0,,,,"toni",,
"11N3397:0007404",0,1,1,1,"shorter_by_2ft",,,,"toni",,
"11N3397:0007408",1,0,0,0,0,,,,"toni",,
"11N3397:0007409",1,0,0,0,0,,,,"toni",,
"11N3397:0007410",1,0,0,0,0,,,,"toni",,
"11N3397:0007411",1,0,0,0,0,,,,"toni",,
"11N3397:0007412",1,0,0,0,0,,,,"toni",,
"11N3398:0007501",0,1,0,0,0,,"small ear",,"toni",,
"11N3398:0007502",0,1,1,1,0,,,,"toni",,
"11N3398:0007503",0,1,1,1,0,,,,"toni",,
"11N3398:0007504",0,1,0,0,"shorter_by_1ft","poor tassel","small ear",,"toni",,
"11N3398:0007505",0,1,0,0,0,"poor tassel",,,"toni",,
"11N3398:0007506",1,0,0,0,0,,,,"toni",,
"11N3398:0007507",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3398:0007508",0,1,1,1,0,,,,"toni",,
"11N1236:0007601",0,1,0,0,"shorter_by_1ft",,,,"toni",,
"11N1236:0007602",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N1236:0007603",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N1236:0007605",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N1236:0007606",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N1236:0007608",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N1236:0007609",1,0,0,0,0,,,,"toni",,
"11N1236:0007612",0,1,0,0,"shorter_by_3ft",,,,"toni",,
"11N3399:0007701",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3399:0007703",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3399:0007705",1,0,0,0,0,,"small ear",,"toni",,
"11N3399:0007706",1,0,0,0,0,,"small ear",,"toni",,
"11N3399:0007707",0,1,0,0,"shorter_by_2ft",,"small ear",,"toni",,
"11N3399:0007708",0,1,1,1,0,,"small ear",,"toni",,
