plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
16R4399:0012505,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4399:0012506,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4399:0012507,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4399:0012508,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4300:0012607,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4300:0012608,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4518:0012701,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4518:0012704,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4519:0012803,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4519:0012804,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4519:0012805,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4520:0012901,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4520:0012902,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4520:0012903,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4520:0012904,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4520:0012905,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013001,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013002,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013003,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013004,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013005,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013006,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4521:0013007,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013101,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013102,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013103,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013104,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013105,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013107,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013108,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013109,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013110,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4522:0013111,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013202,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013203,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013204,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013205,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013206,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013210,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4523:0013211,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013301,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013302,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013304,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013305,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013307,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013308,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013309,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4524:0013310,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4525:0013401,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4525:0013402,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4526:0013501,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4526:0013505,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4526:0013509,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4526:0013510,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4526:0013511,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4527:0013601,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4527:0013602,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4527:0013603,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4527:0013604,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4527:0013605,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4528:0013701,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4528:0013702,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4528:0013703,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4528:0013708,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4528:0013709,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4528:0013710,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4529:0013801,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013802,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013803,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013804,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013805,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013806,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013807,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013808,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013809,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013810,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013811,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4529:0013812,1,0,0,0,0,,,,,08/04/2016 10:55:42,toni,
16R4530:0013901,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4530:0013902,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4530:0013904,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4530:0013905,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4530:0013906,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4531:0014001,0,1,1,1,1,,,,,07/24/2016 10:55:03,toni,
16R4531:0014002,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4531:0014003,0,1,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4531:0014004,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4531:0014005,0,1,1,1,1,,,,,07/24/2016 10:55:03,toni,
16R4531:0014006,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4531:0014007,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4531:0014008,0,1,1,1,1,,,,,07/24/2016 10:55:03,toni,
16R4532:0014101,0,1,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4532:0014102,0,1,1,1,1,,,,,07/24/2016 10:55:03,toni,
16R4532:0014103,0,1,1,1,1,,,,,07/24/2016 10:55:03,toni,
16R4532:0014104,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4532:0014105,0,1,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4532:0014106,0,1,1,1,1,,,,,07/24/2016 10:55:03,toni,
16R4533:0014201,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014202,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014203,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014204,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014207,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014208,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014209,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4533:0014211,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4534:0014301,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4534:0014302,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4534:0014304,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4534:0014305,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4534:0014306,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4534:0014308,1,0,0,0,0,,,,,07/24/2016 10:55:03,toni,
16R4535:0014403,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4535:0014407,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4535:0014409,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4535:0014410,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4535:0014415,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4536:0014501,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4536:0014504,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4536:0014506,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4536:0014508,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4536:0014509,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4537:0014603,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4537:0014604,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4537:0014605,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4537:0014606,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4537:0014610,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R6870:0014701,0,1,1,1,1,,,,,07/27/2016 12:00:00,toni,
16R6870:0014702,0,1,0,0,0,,,,,07/27/2016 12:00:00,toni,
16R6870:0014703,0,1,0,0,0,,,,,07/27/2016 12:00:00,toni,
